Latitude,Longtitude
41.666680767,26.567793
41.666681167,30.587792667
41.666681283,26.567792617
41.666681233,26.567792717
41.6666815,26.567792517
41.666681433,26.567792517
41.663821867,26.570446883
41.663822633,26.570453317
41.663816967,26.570458883
41.663812333,26.570464067
41.663812767,26.570465283
41.6638096,26.570468383
41.663802733,26.570474517
41.6638009,26.570483767
41.6638009,26.570483767
41.6638009,26.570483767
41.6638009,26.570483767
41.6638009,26.570483767
41.6638009,26.570483767
41.663800983,26.570483933
41.663801067,26.570483967
41.663801033,26.570483933
41.663801067,26.570484017
41.663813033,26.570467717
41.663810083,26.570474467
41.663810183,26.570474233
41.663807733,26.570475083
41.6638078,26.570474433
41.66380845,26.570475317
41.663804333,26.570481967
41.663802417,26.57047665
41.663803667,26.57047535
41.66380715,26.5704686
41.6638127,26.570435467
41.663812833,26.570430867
41.663812867,26.57042985
41.663813283,26.570429467
41.663813283,26.570429383
41.663813283,26.570429383
41.663813333,26.570429067
41.663813333,26.570429067
41.663813333,26.570429067
41.663812833,26.570430333
41.663812667,26.57043045
41.663816217,26.5704246
41.663815433,26.570424283
41.663815517,26.570424167
41.66381565,26.570424183
41.663815767,26.57042375
41.663816833,26.570422733
41.663817767,26.57042095
41.66381855,26.570419933
41.663819367,26.570418533
41.663820333,26.57041765
41.663821117,26.570415883
41.663822283,26.570415417
41.663823083,26.570413983
41.663824067,26.570413617
41.663825083,26.5704129
41.663826183,26.570412617
41.663824917,26.5704066
41.663833683,26.5703933
41.663835167,26.570392417
41.663836617,26.57039105
41.663837667,26.5703896
41.6638382,26.570387017
41.663838783,26.570386183
41.663838833,26.5703855
41.66383895,26.570386217
41.66383555,26.5703778
41.663835717,26.5703776
41.663835817,26.570377333
41.663835833,26.570376717
41.663836533,26.570375967
41.663836733,26.570375367
41.663837083,26.57037505
41.663837617,26.570374767
41.66383775,26.570374167
41.663837883,26.570374417
41.663837917,26.570373767
41.663838967,26.5703737
41.663839817,26.5703731
41.663840733,26.570372883
41.663841417,26.570372617
41.663841833,26.570371883
41.663842217,26.570371233
41.663842383,26.570371183
41.663842917,26.570371333
41.663843383,26.570371167
41.6638432,26.57036855
41.663843383,26.570368317
41.663844017,26.570368217
41.663844417,26.570367483
41.663845383,26.570365033
41.663845383,26.570365033
41.663846017,26.570364333
41.663846017,26.570364333
41.663823967,26.570564067
41.663823967,26.570564067
41.663821867,26.570506117
41.663821867,26.570506117
41.663846117,26.570528383
41.663846117,26.570528383
41.663838417,26.570552467
41.663838417,26.570552467
41.663839033,26.5705843
41.663839033,26.5705843
41.663833583,26.570581683
41.663833583,26.570581683
41.663844683,26.57051575
41.663844683,26.57051575
41.663844667,26.570515867
41.663844667,26.570515867
41.6638453,26.570516067
41.6638453,26.570516067
41.663844133,26.570513583
41.663844133,26.570513583
41.663844133,26.570513667
41.663844133,26.570513667
41.663844067,26.570513267
41.663844067,26.570513267
41.66384385,26.5705129
41.66384385,26.5705129
41.663843667,26.57051285
41.663843667,26.57051285
41.663843533,26.570512533
41.663843533,26.570512533
41.663843467,26.570512533
41.663843467,26.570512533
41.663843583,26.570513317
41.663843583,26.570513317
41.663843467,26.570513267
41.663843467,26.570513267
41.663845583,26.570512133
41.663845583,26.570512133
41.663845583,26.570512233
41.663845583,26.570512233
41.663798583,26.569907217
41.663798567,26.569908267
41.663798567,26.569908733
41.66379855,26.569908933
41.663798533,26.56990935
41.663798533,26.569909783
41.6636026,26.570359433
41.663673417,26.570679483
41.663658267,26.570649933
41.66366595,26.570621133
41.663677033,26.570595383
41.663688133,26.570577867
41.66369675,26.570566533
41.663735767,26.570526333
41.66377005,26.570532833
41.663806383,26.570568083
41.663836433,26.57058185
41.663855633,26.57057795
41.663873367,26.570565217
41.663894183,26.570545967
41.66390005,26.57054145
41.663891417,26.570542367
41.663888183,26.570541133
41.663905083,26.570514717
41.66392535,26.5704881
41.663973283,26.5704662
41.6640159,26.570444867
41.664041533,26.570391833
41.66407525,26.570349917
41.6643192,26.570339883
41.664326483,26.570294017
41.663633867,26.570855283
41.663600317,26.570864933
41.663605467,26.570852367
41.6636294,26.570817017
41.663622167,26.570640017
41.663606817,26.570590333
41.663606633,26.570584867
41.6636108,26.57060485
41.663609517,26.570603533
41.663609817,26.57060045
41.1204315,27.542837783
41.120436033,27.5427439
41.120445517,27.542708217
41.12042905,27.542665467
41.120419383,27.542634817
41.120415133,27.542625383
41.120418883,27.542608183
41.120409017,27.542591333
41.1203769,27.542542983
41.120377133,27.542536817
41.1203762,27.542527833
41.120374,27.542522417
41.12037325,27.542526917
41.120375467,27.542518167
41.120376883,27.542508867
41.120378267,27.542502567
41.120378383,27.54249865
41.120381117,27.5424988
41.120381167,27.542498017
41.120381167,27.542497133
41.120382133,27.5424972
41.120382083,27.542497633
41.12038215,27.542497667
41.120382617,27.542498183
41.120383733,27.54249925
41.120383683,27.542499283
41.120383267,27.542498467
41.120383217,27.542498317
41.120383217,27.54249845
41.120382817,27.542497767
41.12038285,27.542497733
41.120382633,27.542497217
41.12038265,27.542497117
41.120382967,27.542497483
41.120382967,27.542497117
41.120383333,27.542497767
41.120383317,27.542497683
41.120383217,27.542497567
41.120383133,27.542497267
41.120383167,27.542497317
41.12038325,27.542497183
41.1203833,27.542497117
41.120383317,27.542497017
41.12038335,27.54249705
41.1203834,27.542497017
41.120383583,27.5424969
41.1203836,27.5424968
41.120383617,27.542496617
41.120383667,27.542496533
41.120383883,27.542496583
41.120383933,27.542496433
41.120383967,27.5424965
41.12038415,27.542496283
41.120384183,27.542496267
41.12038465,27.5424964
41.12038455,27.5424962
41.120384567,27.5424961
41.120384533,27.542496167
41.120384533,27.542496133
41.120384517,27.542495833
41.120385667,27.542496483
41.120385933,27.542496067
41.120386,27.542496067
41.120385967,27.54249575
41.120385933,27.542495683
41.120387983,27.542490933
41.120393217,27.542493617
41.120390933,27.542490483
41.120395283,27.542491417
41.1203974,27.542491417
41.1203992,27.542491867
41.120393517,27.542490233
41.120392583,27.5424858
41.120396317,27.542486317
41.120398067,27.542484983
41.1203999,27.542486917
41.120400567,27.542489183
41.120400783,27.5424903
41.120399517,27.542489267
41.120400067,27.542489517
41.120399683,27.542489267
41.120399217,27.5424889
41.120399233,27.542488533
41.120399117,27.542488483
41.120401417,27.5424983
41.120432417,27.542472917
41.1204324,27.542472933
41.120432417,27.542473
41.120432433,27.542473117
41.663681033,26.569903367
41.663690217,26.569942417
41.663695817,26.569939817
41.663695733,26.569939583
41.663695483,26.569939183
41.663696817,26.569936483
41.663696817,26.56993655
41.663696833,26.569936467
41.663697217,26.569936217
41.663697367,26.569936117
41.663697467,26.569936383
41.663687883,26.569957633
41.663687967,26.5699582
41.663675317,26.56989805
41.663675533,26.569899083
41.663670683,26.569872483
41.663670833,26.569872583
41.66367095,26.569872933
41.663854167,26.570193533
41.66385395,26.570193283
41.663844483,26.5701751
41.663844267,26.57017505
41.6638454,26.57017205
41.663845367,26.570172283
41.663850767,26.570187783
41.663850683,26.570188033
41.663842917,26.57021195
41.663842733,26.570212317
41.663842083,26.570213333
41.66384365,26.57020875
